epoch,out_0,out_1,step,train_loss
24,-0.21615472435951233,-0.23740364611148834,49,1.53116774559021
49,-0.18911311030387878,-0.20967604219913483,99,1.4633160829544067
74,-0.16483287513256073,-0.18482547998428345,149,1.4038113355636597
99,-0.14296510815620422,-0.1624956727027893,199,1.351396083831787
124,-0.12319584935903549,-0.14236508309841156,249,1.3049980401992798
149,-0.10524091869592667,-0.12414292246103287,299,1.2636972665786743
174,-0.08884371072053909,-0.10756725072860718,349,1.2267053127288818
199,-0.07377191632986069,-0.09240229427814484,399,1.193342924118042
224,-0.05981357395648956,-0.07843463867902756,449,1.163021206855774
249,-0.04677249491214752,-0.06546882539987564,499,1.1352237462997437
274,-0.03446347266435623,-0.053322989493608475,549,1.1094894409179688
299,-0.022706935182213783,-0.04182378575205803,599,1.0853967666625977
324,-0.011323344893753529,-0.030801238492131233,649,1.0625512599945068
349,-0.00012669269926846027,-0.020082706585526466,699,1.0405687093734741
374,0.011082958430051804,-0.009486022405326366,749,1.0190621614456177
399,0.022528644651174545,0.0011889185989275575,799,0.9976235628128052
424,0.034467726945877075,0.012170879170298576,849,0.9758064150810242
449,0.04720548912882805,0.023730523884296417,899,0.9531021118164062
474,0.06110985204577446,0.03619595244526863,949,0.9289183020591736
499,0.07662482559680939,0.04996911436319351,999,0.9025586247444153
524,0.09427335858345032,0.06553658097982407,1049,0.8732219338417053
549,0.11463326215744019,0.08346175402402878,1099,0.8400423526763916
574,0.13825564086437225,0.10433245450258255,1149,0.802220344543457
599,0.1654920130968094,0.12862952053546906,1199,0.7592865228652954
624,0.19622802734375,0.15649829804897308,1249,0.7114951014518738
649,0.22962410748004913,0.18748095631599426,1299,0.6601872444152832
674,0.26409658789634705,0.22039368748664856,1349,0.6077860593795776
699,0.2977072298526764,0.2535457909107208,1399,0.55719393491745
724,0.32877516746520996,0.2852419316768646,1449,0.5108790397644043
749,0.35629239678382874,0.314242959022522,1499,0.47026270627975464
774,0.3799525499343872,0.33993080258369446,1549,0.43569138646125793
799,0.3999357223510742,0.3622070550918579,1599,0.40677982568740845
824,0.4166625440120697,0.3812922537326813,1649,0.38279929757118225
849,0.4306224584579468,0.39755263924598694,1699,0.3629428446292877
874,0.4422816038131714,0.4113887548446655,1749,0.3464632034301758
899,0.45204678177833557,0.4231783449649811,1799,0.3327232599258423
924,0.46025699377059937,0.4332534670829773,1849,0.3212016224861145
949,0.46718937158584595,0.44189560413360596,1899,0.3114805221557617
974,0.47306761145591736,0.44933876395225525,1949,0.3032277524471283
999,0.4780721068382263,0.455775648355484,1999,0.29618018865585327
1024,0.4823485016822815,0.46136465668678284,2049,0.29012805223464966
1049,0.4860146939754486,0.4662361741065979,2099,0.2849038243293762
1074,0.4891667664051056,0.4704975485801697,2149,0.28037285804748535
1099,0.49188345670700073,0.47423747181892395,2199,0.2764262557029724
1124,0.49422943592071533,0.47752994298934937,2249,0.27297496795654297
1149,0.49625831842422485,0.4804363548755646,2299,0.269946426153183
1174,0.49801480770111084,0.48300859332084656,2349,0.26728007197380066
1199,0.4995366036891937,0.48529037833213806,2399,0.2649259567260742
1224,0.5008552074432373,0.487318754196167,2449,0.262842059135437
1249,0.5019974112510681,0.48912519216537476,2499,0.2609930634498596
1274,0.502985954284668,0.49073663353919983,2549,0.25934919714927673
1299,0.5038403868675232,0.49217623472213745,2599,0.2578849792480469
1324,0.5045774579048157,0.49346423149108887,2649,0.2565784752368927
1349,0.505211591720581,0.49461784958839417,2699,0.25541114807128906
1374,0.5057551860809326,0.4956521689891815,2749,0.2543666958808899
1399,0.5062190890312195,0.4965801537036896,2799,0.2534315586090088
1424,0.5066127777099609,0.4974135160446167,2849,0.25259315967559814
1449,0.5069443583488464,0.49816232919692993,2899,0.2518410384654999
1474,0.5072212815284729,0.49883538484573364,2949,0.2511659860610962
1499,0.5074496865272522,0.49944064021110535,2999,0.25055962800979614
1524,0.507635235786438,0.4999850392341614,3049,0.2500149607658386
1549,0.5077828168869019,0.5004746317863464,3099,0.24952559173107147
1574,0.507896900177002,0.500914990901947,3149,0.24908584356307983
1599,0.5079810619354248,0.5013109445571899,3199,0.24869076907634735
1624,0.5080389976501465,0.5016668438911438,3249,0.24833592772483826
1649,0.5080735683441162,0.5019866228103638,3299,0.2480173259973526
1674,0.5080874562263489,0.5022737383842468,3349,0.24773143231868744
1699,0.508083164691925,0.5025313496589661,3399,0.2474750578403473
1724,0.5080628395080566,0.5027622580528259,3449,0.24724537134170532
1749,0.5080283284187317,0.502968966960907,3499,0.24703985452651978
1774,0.5079812407493591,0.5031537413597107,3549,0.2468561977148056
1799,0.5079233050346375,0.5033187866210938,3599,0.2466922253370285
1824,0.5078557133674622,0.5034656524658203,3649,0.24654635787010193
1849,0.5077798962593079,0.5035963654518127,3699,0.24641656875610352
1874,0.5076966285705566,0.5037122964859009,3749,0.24630148708820343
1899,0.5076072216033936,0.503814697265625,3799,0.2461998611688614
1924,0.5075123310089111,0.5039049983024597,3849,0.2461102455854416
1949,0.507412850856781,0.503984272480011,3899,0.24603159725666046
1974,0.5073093771934509,0.50405353307724,3949,0.24596290290355682
1999,0.507202684879303,0.5041136741638184,3999,0.24590325355529785
